@relation 'infection-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 100-weka.filters.unsupervised.attribute.NumericToBinary'

@attribute GLT25D2 numeric
@attribute PPM1F_binarized {0,1}
@attribute ITCH_binarized {0,1}
@attribute ACE_binarized {0,1}
@attribute LRRN3_binarized {0,1}
@attribute CELF2_binarized {0,1}
@attribute SHANK2_binarized {0,1}
@attribute PITPNA_binarized {0,1}
@attribute MCCC2_binarized {0,1}
@attribute EIF2AK1_binarized {0,1}
@attribute MTX1_binarized {0,1}
@attribute PGS1_binarized {0,1}
@attribute LPHN3_binarized {0,1}
@attribute SMURF1_binarized {0,1}
@attribute PAPSS2_binarized {0,1}
@attribute ITM2B_binarized {0,1}
@attribute SMAD6_binarized {0,1}
@attribute IDH2_binarized {0,1}
@attribute NAPG_binarized {0,1}
@attribute PTPN21_binarized {0,1}
@attribute OSBPL3_binarized {0,1}
@attribute E2F3_binarized {0,1}
@attribute USP12_binarized {0,1}
@attribute CTTN_binarized {0,1}
@attribute LDB2_binarized {0,1}
@attribute VSIG10_binarized {0,1}
@attribute NHP2_binarized {0,1}
@attribute CD101_binarized {0,1}
@attribute SCN1A_binarized {0,1}
@attribute WDR3_binarized {0,1}
@attribute BUB1_binarized {0,1}
@attribute MCM6_binarized {0,1}
@attribute EIF3I_binarized {0,1}
@attribute FGD6_binarized {0,1}
@attribute ODAM_binarized {0,1}
@attribute FLT4_binarized {0,1}
@attribute HOXA5_binarized {0,1}
@attribute MLF1IP_binarized {0,1}
@attribute EPCAM_binarized {0,1}
@attribute TARP_binarized {0,1}
@attribute NET1_binarized {0,1}
@attribute PTN_binarized {0,1}
@attribute SERPINH1_binarized {0,1}
@attribute MRPL42_binarized {0,1}
@attribute TENC1_binarized {0,1}
@attribute SLC5A6_binarized {0,1}
@attribute PAK1IP1_binarized {0,1}
@attribute GORASP2_binarized {0,1}
@attribute TBC1D2B_binarized {0,1}
@attribute PDK4_binarized {0,1}
@attribute C7ORF44_binarized {0,1}
@attribute KCNN4_binarized {0,1}
@attribute SFN_binarized {0,1}
@attribute GADD45B_binarized {0,1}
@attribute RAB14_binarized {0,1}
@attribute NPR1_binarized {0,1}
@attribute GRK5_binarized {0,1}
@attribute SLC15A2_binarized {0,1}
@attribute RAD54B_binarized {0,1}
@attribute ABCG2_binarized {0,1}
@attribute GLRX3_binarized {0,1}
@attribute ATAD2_binarized {0,1}
@attribute ZBTB16_binarized {0,1}
@attribute AOC3_binarized {0,1}
@attribute GARS_binarized {0,1}
@attribute ARHGAP6_binarized {0,1}
@attribute CYB5A_binarized {0,1}
@attribute SH3GL3_binarized {0,1}
@attribute TACO1_binarized {0,1}
@attribute ARMCX1_binarized {0,1}
@attribute CD34_binarized {0,1}
@attribute RBMS3_binarized {0,1}
@attribute CDKN3_binarized {0,1}
@attribute MINK1_binarized {0,1}
@attribute C1ORF38_binarized {0,1}
@attribute CHEK2_binarized {0,1}
@attribute PDCL_binarized {0,1}
@attribute EDNRA_binarized {0,1}
@attribute CNN1_binarized {0,1}
@attribute QDPR_binarized {0,1}
@attribute WFDC1_binarized {0,1}
@attribute MIR936_binarized {0,1}
@attribute FTO_binarized {0,1}
@attribute DCTN5_binarized {0,1}
@attribute MBNL1_binarized {0,1}
@attribute MRPS30_binarized {0,1}
@attribute GRHL2_binarized {0,1}
@attribute SEMA6A_binarized {0,1}
@attribute GCNT3_binarized {0,1}
@attribute S100A2_binarized {0,1}
@attribute AL034399_binarized {0,1}
@attribute CTNNAL1_binarized {0,1}
@attribute HJURP_binarized {0,1}
@attribute FBXL5_binarized {0,1}
@attribute TMPO_binarized {0,1}
@attribute ZBTB20_binarized {0,1}
@attribute WDR45L_binarized {0,1}
@attribute RAD51AP1_binarized {0,1}
@attribute PFDN4_binarized {0,1}
@attribute NEDD9_binarized {0,1}
@attribute class {Control,Infected}

@data
7.671,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
6.187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
6.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
8.246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
6.624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
6.781,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
6.354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
6.659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
6.535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
6.708,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
6.694,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Infected
