@relation 'infection-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 100-weka.filters.unsupervised.attribute.NumericToBinary'

@attribute IPO4 numeric
@attribute HIF3A_binarized {0,1}
@attribute DONSON_binarized {0,1}
@attribute TPD52_binarized {0,1}
@attribute ZZEF1_binarized {0,1}
@attribute CD24_binarized {0,1}
@attribute GIPC2_binarized {0,1}
@attribute LGR4_binarized {0,1}
@attribute KIF2A_binarized {0,1}
@attribute MME_binarized {0,1}
@attribute ERO1L_binarized {0,1}
@attribute PDE3B_binarized {0,1}
@attribute MOCS1_binarized {0,1}
@attribute FANCI_binarized {0,1}
@attribute NTRK3_binarized {0,1}
@attribute MTX2_binarized {0,1}
@attribute KRT8_binarized {0,1}
@attribute MRPL9_binarized {0,1}
@attribute CNN1_binarized {0,1}
@attribute MAP4_binarized {0,1}
@attribute C15ORF5_binarized {0,1}
@attribute LAMA4_binarized {0,1}
@attribute GMNN_binarized {0,1}
@attribute RASGRF1_binarized {0,1}
@attribute ZNF331_binarized {0,1}
@attribute CDKN1C_binarized {0,1}
@attribute TMEM177_binarized {0,1}
@attribute GNA11_binarized {0,1}
@attribute KIF14_binarized {0,1}
@attribute PARP1_binarized {0,1}
@attribute SYNJ2_binarized {0,1}
@attribute CLDN3_binarized {0,1}
@attribute NCBP2_binarized {0,1}
@attribute CANT1_binarized {0,1}
@attribute HS2ST1_binarized {0,1}
@attribute CRBN_binarized {0,1}
@attribute KIF1C_binarized {0,1}
@attribute CCND2_binarized {0,1}
@attribute GPR172A_binarized {0,1}
@attribute TSPAN6_binarized {0,1}
@attribute AL080190_binarized {0,1}
@attribute STX2_binarized {0,1}
@attribute PAPSS2_binarized {0,1}
@attribute EZH1_binarized {0,1}
@attribute TCF4_binarized {0,1}
@attribute IL11RA_binarized {0,1}
@attribute BUB1B_binarized {0,1}
@attribute CCL23_binarized {0,1}
@attribute SLC12A8_binarized {0,1}
@attribute MYL9_binarized {0,1}
@attribute DOCK9_binarized {0,1}
@attribute TIMP3_binarized {0,1}
@attribute SERPINB6_binarized {0,1}
@attribute SLC16A3_binarized {0,1}
@attribute MYLK_binarized {0,1}
@attribute IFFO1_binarized {0,1}
@attribute SHMT2_binarized {0,1}
@attribute COL1A2_binarized {0,1}
@attribute ILF2_binarized {0,1}
@attribute H2AFJ_binarized {0,1}
@attribute COLEC12_binarized {0,1}
@attribute C1ORF112_binarized {0,1}
@attribute BAI3_binarized {0,1}
@attribute MTX1_binarized {0,1}
@attribute SOCS2_binarized {0,1}
@attribute MAOB_binarized {0,1}
@attribute CSPG4_binarized {0,1}
@attribute HMGB3L1_binarized {0,1}
@attribute RUFY2_binarized {0,1}
@attribute PFDN6_binarized {0,1}
@attribute FKBP3_binarized {0,1}
@attribute AIMP2_binarized {0,1}
@attribute MSR1_binarized {0,1}
@attribute HEATR2_binarized {0,1}
@attribute ADCY9_binarized {0,1}
@attribute C5AR1_binarized {0,1}
@attribute PAK1_binarized {0,1}
@attribute PTGER4_binarized {0,1}
@attribute SEC24A_binarized {0,1}
@attribute TUBG1_binarized {0,1}
@attribute UBFD1_binarized {0,1}
@attribute CCDC102B_binarized {0,1}
@attribute CALU_binarized {0,1}
@attribute AHCY_binarized {0,1}
@attribute GABARAPL3_binarized {0,1}
@attribute HMMR_binarized {0,1}
@attribute SLC31A2_binarized {0,1}
@attribute UBE2C_binarized {0,1}
@attribute DNAJB4_binarized {0,1}
@attribute ZMIZ1_binarized {0,1}
@attribute C4ORF31_binarized {0,1}
@attribute GPI_binarized {0,1}
@attribute GIMAP4_binarized {0,1}
@attribute ZDHHC14_binarized {0,1}
@attribute CCT5_binarized {0,1}
@attribute PDS5B_binarized {0,1}
@attribute GALE_binarized {0,1}
@attribute FAM184A_binarized {0,1}
@attribute ZEB1_binarized {0,1}
@attribute MIR21_binarized {0,1}
@attribute class {Control,Infected}

@data
7.963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
8.083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
8.103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
8.125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
8.324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
8.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
7.804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
