@relation 'infection-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 20'

@attribute CD101 numeric
@attribute MTX1 numeric
@attribute PDK4 numeric
@attribute CD34 numeric
@attribute LDB2 numeric
@attribute RGN numeric
@attribute ZBTB16 numeric
@attribute ODAM numeric
@attribute KCNK3 numeric
@attribute LPHN3 numeric
@attribute GPRIN2 numeric
@attribute MRPS30 numeric
@attribute HJURP numeric
@attribute RPP40 numeric
@attribute LRRN3 numeric
@attribute VSIG10 numeric
@attribute CALCOCO2 numeric
@attribute ZEB1 numeric
@attribute SCN1A numeric
@attribute TENC1 numeric
@attribute class {Control,Infected}

@data
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Control
1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,Control
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,Control
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Control
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,Control
1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Control
1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,Control
1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,Control
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,Control
0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,Control
1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,Control
0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,Control
1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,Control
1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,Control
1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,Control
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,Control
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,Control
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Control
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Control
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Control
1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,Control
0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,Control
1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,Control
0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,Control
1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,Control
1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,Control
1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Control
1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,Control
0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,Control
1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,Control
1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,Control
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Control
1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,Control
1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,Control
1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,Infected
