@relation 'infection-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10-weka.filters.unsupervised.attribute.NumericToBinary'

@attribute PDK4 numeric
@attribute RAI2_binarized {0,1}
@attribute MRPL42_binarized {0,1}
@attribute ARHGAP6_binarized {0,1}
@attribute TBC1D2B_binarized {0,1}
@attribute C1ORF38_binarized {0,1}
@attribute CD101_binarized {0,1}
@attribute LRRN3_binarized {0,1}
@attribute WFDC1_binarized {0,1}
@attribute LPHN3_binarized {0,1}
@attribute class {Control,Infected}

@data
1,0,1,1,1,1,1,1,1,1,Control
1,1,1,1,1,1,1,0,0,0,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,1,0,1,0,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,1,1,1,1,Control
0,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,0,1,1,1,1,0,1,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,1,0,0,0,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,0,1,0,1,Control
1,0,1,1,1,1,1,1,1,1,Control
1,0,1,1,1,1,1,0,1,0,Control
1,0,1,1,1,1,1,1,0,1,Control
1,0,1,1,1,1,1,1,1,1,Control
0,1,0,0,0,0,0,0,1,0,Infected
0,1,0,0,0,1,0,0,0,0,Infected
0,1,0,0,0,1,0,0,0,0,Infected
0,1,0,1,0,0,0,0,0,0,Infected
0,1,0,0,0,1,0,0,0,0,Infected
0,1,0,0,0,0,0,0,0,0,Infected
0,1,1,0,1,1,0,0,0,0,Infected
0,1,0,0,0,0,0,0,0,0,Infected
0,1,0,0,0,0,0,0,0,0,Infected
0,1,0,0,0,0,0,0,0,0,Infected
0,1,0,0,0,0,0,0,0,0,Infected
