disease,integration type,experiment,threshold,features,accuracy,test instances,train instances,total_instances
Adenocarcinoma,single,GDS3257,10,10,96.875,11,96,107
Adenocarcinoma,single,GDS3257,10,20,96.875,11,96,107
Adenocarcinoma,single,GDS3257,10,30,96.875,11,96,107
Adenocarcinoma,single,GDS3257,10,40,97.9167,11,96,107
Adenocarcinoma,single,GDS3257,10,50,98.9583,11,96,107
Adenocarcinoma,single,GDS3257,10,60,98.9583,11,96,107
Adenocarcinoma,single,GDS3257,10,70,98.9583,11,96,107
Adenocarcinoma,single,GDS3257,10,80,97.9167,11,96,107
Adenocarcinoma,single,GDS3257,10,90,97.9167,11,96,107
Adenocarcinoma,single,GDS3510,10,10,66.6667,1,3,4
Adenocarcinoma,single,GDS3510,10,20,100,1,3,4
Adenocarcinoma,single,GDS3510,10,30,100,1,3,4
Adenocarcinoma,single,GDS3510,10,40,100,1,3,4
Adenocarcinoma,single,GDS3510,10,50,100,1,3,4
Adenocarcinoma,single,GDS3510,10,60,100,1,3,4
Adenocarcinoma,single,GDS3510,10,70,100,1,3,4
Adenocarcinoma,single,GDS3510,10,80,100,1,3,4
Adenocarcinoma,single,GDS3510,10,90,100,1,3,4
Adenocarcinoma,single,GDS3592,10,10,85.7143,3,21,24
Adenocarcinoma,single,GDS3592,10,20,85.7143,3,21,24
Adenocarcinoma,single,GDS3592,10,30,90.4762,3,21,24
Adenocarcinoma,single,GDS3592,10,40,95.2381,3,21,24
Adenocarcinoma,single,GDS3592,10,50,95.2381,3,21,24
Adenocarcinoma,single,GDS3592,10,60,95.2381,3,21,24
Adenocarcinoma,single,GDS3592,10,70,95.2381,3,21,24
Adenocarcinoma,single,GDS3592,10,80,95.2381,3,21,24
Adenocarcinoma,single,GDS3592,10,90,95.2381,3,21,24
Adenocarcinoma,single,GDS3610,10,10,92,3,25,28
Adenocarcinoma,single,GDS3610,10,20,92,3,25,28
Adenocarcinoma,single,GDS3610,10,30,92,3,25,28
Adenocarcinoma,single,GDS3610,10,40,92,3,25,28
Adenocarcinoma,single,GDS3610,10,50,92,3,25,28
Adenocarcinoma,single,GDS3610,10,60,92,3,25,28
Adenocarcinoma,single,GDS3610,10,70,92,3,25,28
Adenocarcinoma,single,GDS3610,10,80,92,3,25,28
Adenocarcinoma,single,GDS3610,10,90,92,3,25,28
Adenocarcinoma,single,GDS3257,20,10,96.4706,22,85,107
Adenocarcinoma,single,GDS3257,20,20,97.6471,22,85,107
